rank,paper_id,extraction_timestamp,new_count,cumulative_count,in_final_window
93,doi:10.1109/icse55347.2025.00060,2026-04-17T08:59:10.693232+00:00,3,296,False
94,doi:10.1109/isec64801.2025.11147402,2026-04-17T08:59:12.053542+00:00,2,298,False
95,doi:10.1109/icodse68111.2025.11351772,2026-04-17T08:59:30.570692+00:00,3,301,False
96,doi:10.1109/access.2025.3581139,2026-04-17T08:59:32.842113+00:00,2,303,False
97,doi:10.1109/tai.2023.3318183,2026-04-17T08:59:40.328523+00:00,3,306,False
98,doi:10.48009/1_iis_134,2026-04-17T08:59:55.309570+00:00,3,309,False
99,doi:10.1109/icodse68111.2025.11351822,2026-04-17T09:00:00.363828+00:00,1,310,False
100,doi:10.1109/icse-seip66354.2025.00042,2026-04-17T09:00:06.314786+00:00,5,315,False
101,doi:10.1109/ast66626.2025.00007,2026-04-17T09:00:12.686907+00:00,3,318,False
102,doi:10.1109/cste64638.2025.11092128,2026-04-17T09:00:14.373334+00:00,2,320,False
103,doi:10.1109/chase66643.2025.00016,2026-04-17T09:00:28.880699+00:00,2,322,False
104,doi:10.1049/icp.2025.3640,2026-04-17T09:01:18.941304+00:00,4,326,False
105,doi:10.24251/hicss.2025.896,2026-04-17T09:01:23.913622+00:00,4,330,False
106,doi:10.1109/ase63991.2025.00182,2026-04-17T09:13:56.148709+00:00,1,331,False
107,doi:10.1109/llm4code66737.2025.00019,2026-04-17T09:13:58.262086+00:00,3,334,False
108,doi:10.1109/tvcg.2025.3535332,2026-04-17T09:14:04.089078+00:00,0,334,False
109,doi:10.1109/icst62969.2025.10989038,2026-04-17T09:14:07.462322+00:00,4,338,False
110,doi:10.1109/msr66628.2025.00043,2026-04-17T09:14:11.508363+00:00,3,341,False
111,doi:10.1109/vl-hcc65237.2025.00017,2026-04-17T09:14:13.672754+00:00,6,347,False
112,doi:10.1109/ro-man63969.2025.11217707,2026-04-17T09:14:18.881619+00:00,3,350,False
113,doi:10.1109/csecs64665.2025.11009821,2026-04-17T09:14:25.150140+00:00,1,351,False
114,doi:10.1109/ase63991.2025.00117,2026-04-17T09:14:29.723694+00:00,1,352,False
115,doi:10.1007/s40692-025-00375-w,2026-04-17T09:14:35.910582+00:00,4,356,False
116,doi:10.25103/jestr.186.21,2026-04-17T09:14:46.302779+00:00,3,359,False
117,doi:10.1109/icmi65310.2025.11141320,2026-04-17T09:14:55.456095+00:00,1,360,False
118,doi:10.15849/ijasca.250730.11,2026-04-17T09:15:03.024475+00:00,4,364,False
119,doi:10.1109/cascon66301.2025.00025,2026-04-17T09:15:11.703975+00:00,2,366,False
120,doi:10.1109/dsd67783.2025.00025,2026-04-17T09:15:23.067706+00:00,3,369,False
121,doi:10.1109/iccbe65177.2025.11255927,2026-04-17T09:15:23.092718+00:00,2,371,False
122,doi:10.1109/istas65609.2025.11269659,2026-04-17T09:15:24.349314+00:00,2,373,False
123,doi:10.1109/icpc66645.2025.00040,2026-04-17T09:15:28.686138+00:00,1,374,False
124,doi:10.1109/icst62969.2025.10988960,2026-04-17T09:15:30.161379+00:00,2,376,False
125,doi:10.7763/ijcte.2025.v17.1378,2026-04-17T09:15:33.369751+00:00,2,378,False
126,doi:10.1109/cai64502.2025.00266,2026-04-17T09:15:36.498052+00:00,2,380,False
127,doi:10.1109/sta66620.2025.11364940,2026-04-17T09:15:42.988069+00:00,0,380,False
128,doi:10.1109/icse55347.2025.00138,2026-04-17T09:15:51.966289+00:00,2,382,False
129,doi:10.1109/botse67031.2025.00013,2026-04-17T09:15:53.585254+00:00,3,385,False
130,doi:10.1002/sd.70544,2026-04-17T09:15:54.139165+00:00,3,388,False
